model,fold,accuracy,log_loss,brier_score,roc_auc
ELO,1,0.569078947368421,0.6957587202020757,0.25057530567094677,0.5777126736111111
Rank Centrality,1,0.4506578947368421,0.7714384651681077,0.27911729120132106,0.4447265625
XGBoost,1,0.5328947368421053,1.0124372480824786,0.32784923389161974,0.5392144097222222
Random Forest,1,0.5394736842105263,1.0180424470322251,0.31341345314804825,0.5235894097222222
ELO,2,0.5526315789473685,0.673139108386655,0.24054814415781323,0.5900435014204545
Rank Centrality,2,0.48026315789473684,0.7189151810765698,0.2623817832185738,0.47321111505681823
XGBoost,2,0.5592105263157895,0.8631036309399359,0.29253964751980754,0.5659845525568181
Random Forest,2,0.5164473684210527,0.8067716960497717,0.28382946425625927,0.5502707741477273
ELO,3,0.5460526315789473,0.6944602746113296,0.2489725138776423,0.6062337662337662
Rank Centrality,3,0.46710526315789475,0.711146753205913,0.2586447602848376,0.4791341991341991
XGBoost,3,0.5526315789473685,0.8254038056578176,0.28367550247094625,0.56
Random Forest,3,0.5592105263157895,0.7898681573349403,0.2746271332875251,0.5636363636363637
